method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,diverged,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
OEM-SS,Multiple-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.14860624759064642,2.3012999319998926,nan,nan,nan,3.837678624999853,6.138978556999746,11264.128869452059,56,202,CasADi/IPOPT multiple shooting (6 segments) on 2 trials with stride 10; nonlinear residuals are unmodeled. Solver status: Solve_Succeeded.,open_loop,False,5.160976757938113,0.03485536536783965,0.1953282850770341,0.16565759676189723,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,0.2667297776922654,0.4551340900000014,nan,nan,nan,7.271805107000091,7.7269391970000925,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,False,7.282894415188068,0.04915023605381819,0.43202434084365315,0.4061221067103561,nan,nan,nan,nan,nan,nan,u_cmd,direct
SINDy,One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,927.576713539502,0.07647881200000484,nan,nan,nan,14.343109635000019,14.419588447000024,0.0020200192787072162,20,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,False,1458.940619920282,268.82990301070913,1.2268007570251709,4110.167446750079,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-MocapOutput,Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,25.05974477539661,35.018233753000004,nan,nan,nan,3.91288293599996,38.931116688999964,nan,16,202,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,False,5.440432522183756,0.8502992658698609,118.00934556249145,6.0282246014353635,396.9147856006628,24.756295484649854,118.58329076482097,nan,nan,nan,u_cmd,direct
GP-CoeffClosure,Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,1.736284452306972,2.301360211999963,nan,nan,nan,13.257991610000317,15.55935182200028,0.32503858218651344,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.11, residual gain=1.",open_loop,False,11.287685661674528,0.54326132452537,4.967010244701327,0.5129059787072645,nan,nan,nan,0.14747067560175484,0.11926021987296578,0.28016723882203853,u_cmd,direct
UDE-Residual,Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.11478207422463967,0.9959912959998292,0.9990859400000005,0.9957116088867187,68.81005859375,9.733688427999823,10.729679723999652,0.3327735364437103,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=1.,open_loop,False,3.4415387559042308,0.019381722131876937,0.1860706547577298,0.16820427626005813,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-CoeffClosure,Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,0.5263384852314114,0.9995879479997711,1.0033593500000002,0.9993264770507813,68.42822265625,10.405524155999956,11.405112103999727,0.3265624940395355,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=1.,open_loop,False,16.746637795180455,0.045976936399783924,1.3889419562870498,0.3223468378011269,nan,nan,nan,0.03206716694975791,0.0216506621938736,0.05743623217757295,u_cmd,direct
UDE-HiddenControl,Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.12701687681884408,0.9996174580001025,1.0039768019999995,0.9993536987304688,68.04541015625,11.170558325000002,12.170175783000104,0.5013819932937622,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,False,4.346918442352462,0.030435063757646576,0.1612454142082948,0.14835308678275114,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-HiddenElevator,PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.11996144112522006,1.0199809989999267,1.0249680349999997,1.0197125854492188,67.66357421875,11.676899373000197,12.696880372000123,0.005105064250528812,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,False,3.87057109522776,0.02838639128937791,0.1579694739598852,0.14955736031247263,nan,nan,nan,nan,nan,nan,u_cmd,direct
NN-CoeffSurrogate,Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.061361195570186294,1.0096233839999513,1.0121875520000003,1.0093461303710938,68.42822265625,9.776144461000058,10.78576784500001,0.0017078405944630504,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,False,2.318924498629557,0.009084375933485664,0.09733350123379146,0.07246611927022108,nan,nan,nan,0.004417735164361614,0.001397259475665272,0.007970774277252818,u_cmd,direct
Linear-SS (mocap),Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.09996655259467073,0.0987218140001005,nan,nan,nan,1.0892859680000129,1.1880077820001134,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,False,3.0301105832824002,0.01383703104893618,0.16704593568385714,0.15924781230952015,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Nominal (mocap),"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.20952122330825565,0.0,nan,nan,nan,5.899274805000005,5.899274805000005,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,False,3.3186553003486314,0.0858139890146579,0.2539660739143572,0.24631734116343595,nan,nan,nan,0.02817625299619063,0.0055160463621289815,0.02515540493892661,u_cmd,mocap
Model-Stitching (mocap),Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.18478294816049112,0.1564507959999446,nan,nan,nan,5.396779120000019,5.553229915999964,0.0008546932836837035,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.917. Validation uses only x0 and the supplied pilot-command history.",open_loop,False,5.5606404518075125,0.021824927328462224,0.38382304978888804,0.22642330233954655,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Koopman-EDMD (mocap),Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,18.89891879333224,0.07755083300003207,nan,nan,nan,5.1482556630001,5.225806496000132,nan,120,64000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,False,1907.3297168014415,0.6273889296491474,0.6974974529792124,2.6361398492270944,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Frequency-Welch (mocap),Input-power-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,2965.1965609012886,0.6330739670002004,nan,nan,nan,0.1078541290000885,0.7409280960002889,nan,28,21182,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and input-power-fraction threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,False,14.217336061699031,1295.4686086167312,761.0061530351027,9414.995189198244,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Frequency-Stitching (mocap),Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,2835.630465035115,1.3083026969998173,nan,nan,nan,1.0910331779998614,2.3993358749996787,11.06031131933606,211,21182,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.917. This tests local frequency-domain stitching, not CIFER.",open_loop,False,14.77664972423357,1039.669896321891,1687.3123095963986,9155.228032358402,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Subspace-Hankel (mocap),Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,2944.7795733617663,5.2512176399998225,nan,nan,nan,0.9713122630000726,6.222529902999895,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,False,14.880550096167399,887.0560031844586,3698.8724885043766,8344.757867732103,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EquationError-LS (mocap),"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.20067995242392145,0.010435056000005716,nan,nan,nan,4.28750659100001,4.297941647000016,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,False,7.197277632993513,0.053116500893069976,0.22327215717651971,0.21989002185223985,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EKF-ParamID (mocap),Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.28023676068638426,0.19416852599988488,nan,nan,nan,5.343678440999838,5.537846966999723,0.011204521075992072,156,800,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,False,5.957796929733123,0.08118629528586035,0.38705408934808444,0.4099567005920856,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Variational-Mocap (mocap),"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,1.5172779950503608,0.9325602320000144,nan,nan,nan,3.900098758000013,4.832658990000027,nan,320,52,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,False,9.372385471752548,0.19044309370368429,5.7304349934175685,0.668295807983934,138.99076041078698,45.56811615671307,5.692657362415278,nan,nan,nan,u_cmd,mocap
Symbolic-Stepwise (mocap),Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,1247.5040654829982,0.4490039560000696,nan,nan,nan,4.664120937999996,5.113124894000066,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,False,8.006842490080606,757.6873296951787,753.0339762919605,1925.3868766841972,nan,nan,nan,nan,nan,nan,u_cmd,mocap
OEM-SS (mocap),Multiple-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.4722291653179424,3.116354979000107,nan,nan,nan,4.212892720000127,7.329247699000234,31649.311930015374,56,202,CasADi/IPOPT multiple shooting (6 segments) on 2 trials with stride 10; nonlinear residuals are unmodeled. Solver status: Solve_Succeeded.,open_loop,False,7.831104961591444,0.17058145692967397,0.620158517038295,0.6312151635625514,nan,nan,nan,nan,nan,nan,u_cmd,mocap
SINDy (mocap),One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,25.018321229592566,0.17226907400004166,nan,nan,nan,12.882084803999987,13.054353878000029,0.33773404987498296,46,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,False,1230.8216766207345,0.6750003046032518,0.5582183515568699,83.59307610342776,nan,nan,nan,nan,nan,nan,u_cmd,mocap
OEM-MocapOutput (mocap),Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,25.05974477539661,36.7816544100001,nan,nan,nan,3.724454021999918,40.50610843200002,nan,16,202,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,False,5.440432522183756,0.8502992658698609,118.00934556249145,6.0282246014353635,396.9147856006628,24.756295484649854,118.58329076482097,nan,nan,nan,u_cmd,mocap
GP-CoeffClosure (mocap),Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,2.1951087394470647,2.646080150999751,nan,nan,nan,13.23287081699982,15.878950967999572,0.1469921384517853,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.11, residual gain=0.1.",open_loop,False,23.870516569780648,0.17230249675266332,8.647037925714011,0.6003963623305917,nan,nan,nan,0.035307981068160445,0.10412714448597558,0.027043835528616497,u_cmd,mocap
UDE-Residual (mocap),Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.1510314481095839,1.0450200329996733,1.0413337090000008,1.0447593994140625,68.81005859375,10.165541634999954,11.210561667999627,0.09708596765995026,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=0.1.,open_loop,False,4.149420687856844,0.03731411202854849,0.23088633697538635,0.1801155558769415,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-CoeffClosure (mocap),Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,63.26731593620043,1.0034672110000429,1.0050492420000001,1.00318701171875,68.42822265625,3.957996489999914,4.961463700999957,0.0550183542072773,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=0.1.,open_loop,False,3697.5447792365662,0.14032900312712687,0.8893331651273987,187.4510376365255,nan,nan,nan,0.03293687077426127,0.4626116718928336,0.054036910804356415,u_cmd,mocap
UDE-HiddenControl (mocap),Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.1285609539120258,0.9744641540000885,0.9786228560000003,0.9741068725585937,68.04541015625,11.372418165999989,12.346882320000077,0.4562608599662781,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,False,3.6755454642120196,0.035334817046144475,0.16361629816847087,0.16208546884341873,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-HiddenElevator (mocap),PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.12855403409372315,0.9689102019997335,0.962931545,0.9686292724609376,67.66357421875,11.731199193000066,12.7001093949998,0.007068041246384382,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,False,3.73040817267457,0.03486843766165569,0.16439223010094295,0.16095597940619805,nan,nan,nan,nan,nan,nan,u_cmd,mocap
NN-CoeffSurrogate (mocap),Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.6091344536135563,0.9674303009996947,0.9703011109999995,0.96712939453125,68.42822265625,9.811563330000354,10.778993631000048,0.002517203101888299,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,False,6.8283293985213875,0.168197562584889,1.4137264648744192,0.5843238787827246,nan,nan,nan,0.07250685785791204,0.06251979937765814,0.1945151241079795,u_cmd,mocap
