method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,diverged,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Variational-Mocap,"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,7.315694230970715,1.0076451919999272,nan,nan,nan,3.8686359519997495,4.876281143999677,nan,320,52,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,False,9.237813754702083,0.15361146500804634,16.8076537997613,0.9918978551756846,158.34856356603333,56.720938740095185,16.814472957355385,nan,nan,nan,u_cmd,direct
SINDy,One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,1106.7021093249587,0.07896522299961362,nan,nan,nan,6.171231065000029,6.250196287999643,0.0020200192787072162,20,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,False,1933.474107795593,360.68468709835344,1.6508918245864916,5428.641780917474,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,2.7095522987564697,0.4766805409999506,nan,nan,nan,9.214870703000088,9.691551244000038,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,False,6.602907753492464,0.31155115728792193,5.395376250226148,0.8516140307290329,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-MocapOutput,Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,51.583961103765546,41.419317913000214,nan,nan,nan,4.593999448999966,46.01331736200018,nan,16,202,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,False,6.223600474180962,0.8501399585229573,121.39491777914712,5.918681854437653,320.58926127231473,27.71009043230512,122.0750981295563,nan,nan,nan,u_cmd,direct
OEM-HiddenController,Single-shooting OEM with an inferred smooth stall/recovery controller between pilot command and plant input.,implemented,CasADi/IPOPT,0.012504273222079445,194.4400917339999,nan,nan,nan,11.144343650999872,205.58443538499978,3593.0484283240735,28,802,"CasADi/IPOPT fitted aerodynamic and controller parameters using u_cmd; controller parameters describe throttle-to-pitch scheduling, elevator-to-pitch mapping, SAFE pitch gain, AS3X q damping, stall/recovery gates, panic pitch target, panic pitch gain, and SAFE/direct blending.",open_loop,False,0.10487323198871326,0.004196591735147714,0.008895322926078069,0.025905709806396112,nan,nan,nan,nan,nan,nan,u_cmd,direct
GP-CoeffClosure,Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,1.9747793633273654,2.299728870999843,nan,nan,nan,13.139660756000012,15.439389626999855,0.32503858218651344,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.11, residual gain=1.",open_loop,False,7.34338259319876,0.7530021265940378,2.683082503036532,0.653635497556402,nan,nan,nan,0.1860083758483641,0.16340296476433983,0.38385864202977454,u_cmd,direct
UDE-Residual,Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,6.205175942768526,1.0460879329998534,1.050211806,1.0457774658203125,68.81005859375,9.76637807599991,10.812466008999763,0.33258554339408875,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=1.,open_loop,False,7.8100345809138245,0.16959644412809183,14.10720582689001,1.0302899688523715,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-CoeffClosure,Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,1.6695529376378382,1.0537701680000282,1.0581393720000003,1.0533931884765626,68.42822265625,10.11268191499994,11.166452082999967,0.3261450529098511,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=1.,open_loop,False,6.445552520102415,0.16647828824913527,3.2611083975453496,0.6377074928879407,nan,nan,nan,0.07630723702412508,0.07779560728914292,0.14119693655945317,u_cmd,direct
UDE-HiddenControl,Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.1521180105172174,1.0646712129996558,1.0700738969999994,1.06441455078125,68.04541015625,11.194681028000105,12.25935224099976,0.5009543895721436,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,False,1.6582190644821455,0.04636405122988824,0.14590737703943019,0.1954137437591421,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-HiddenElevator,PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.15144185887752445,1.0128167550001308,1.0158177590000008,1.012559326171875,67.66357421875,11.689554810000118,12.702371565000249,0.005813680123537779,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,False,1.6322928217308545,0.046210124927399863,0.14601358569224923,0.1938453989103748,nan,nan,nan,nan,nan,nan,u_cmd,direct
NN-CoeffSurrogate,Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,2.06905490211527,1.0488062049998916,1.054793729,1.0485404052734375,68.42822265625,10.118866009000158,11.16767221400005,0.002086246619001031,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,False,11.057074828765389,0.168929375611224,4.084916024856418,0.594339157826368,nan,nan,nan,0.067604210114559,0.05084721734208266,0.14448713646276756,u_cmd,direct
Nominal (mocap),"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,7.182499708285721,0.0,nan,nan,nan,3.7461682849998397,3.7461682849998397,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,False,7.915749943642053,0.2812557369257588,16.25040393602978,0.9883818382666785,nan,nan,nan,0.01612451932886906,0.002951166718019194,0.013874122406396721,u_cmd,mocap
Linear-SS (mocap),Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.5296960125672198,0.06135048400028609,nan,nan,nan,0.580267498000012,0.6416179820002981,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,False,5.910954856824503,0.0936776864058539,0.600491082669125,0.8323399747305532,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Koopman-EDMD (mocap),Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,29.88027835444246,0.05020920699962517,nan,nan,nan,2.750503197999933,2.800712404999558,nan,120,64000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,False,2040.406196103397,0.6697361934725589,0.7102080477943902,2.8066849656026407,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Model-Stitching (mocap),Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.4871497307930179,0.10921337000036146,nan,nan,nan,3.50364386199999,3.6128572320003514,0.0008546932836837035,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.917. Validation uses only x0 and the supplied pilot-command history.",open_loop,False,5.712234221336222,0.07073744382443367,0.6105146051538833,0.6651436028892814,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Frequency-Welch (mocap),Input-power-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,2779.2022044775836,0.6383058199999141,nan,nan,nan,0.11113846099988223,0.7494442809997963,nan,28,21182,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and input-power-fraction threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,False,16.77477010685849,1291.6197838984363,758.775977032962,9386.985691891092,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Subspace-Hankel (mocap),Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,3477.4361185457537,4.101159978999931,nan,nan,nan,0.7456949289999102,4.846854907999841,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,False,11.095883745645313,886.8373023062541,3697.0945759113847,8341.314128269658,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Frequency-Stitching (mocap),Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,2897.9226835422587,1.3504556100001537,nan,nan,nan,0.8649410250000074,2.215396635000161,11.06031131933606,211,21182,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.917. This tests local frequency-domain stitching, not CIFER.",open_loop,False,10.959577498205052,1038.2806207277142,1685.0583226775013,9142.776782710913,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EquationError-LS (mocap),"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.3792952296842945,0.009224545000051876,nan,nan,nan,3.933645186999911,3.942869731999963,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,False,4.391189591857658,0.09741370343545214,0.3952389041870272,0.48625630985587515,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EKF-ParamID (mocap),Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,4.611800119899002,0.2010215700001936,nan,nan,nan,5.510500471999876,5.71152204200007,0.011204521075992072,156,800,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,False,6.179993566540876,0.21316446992624585,10.239214767115685,0.8898430183596394,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Variational-Mocap (mocap),"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,7.315694230970715,0.9952247750002243,nan,nan,nan,4.73186888500004,5.727093660000264,nan,320,52,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,False,9.237813754702083,0.15361146500804634,16.8076537997613,0.9918978551756846,158.34856356603333,56.720938740095185,16.814472957355385,nan,nan,nan,u_cmd,mocap
OEM-SS (mocap),Multiple-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,5.705918814632698,3.6988142479999624,nan,nan,nan,4.418515673000002,8.117329920999964,31649.311930015374,56,202,CasADi/IPOPT multiple shooting (6 segments) on 2 trials with stride 10; nonlinear residuals are unmodeled. Solver status: Solve_Succeeded.,open_loop,False,6.563133635655886,0.18590595872984203,12.923181695611028,0.9606195207382882,nan,nan,nan,nan,nan,nan,u_cmd,mocap
SINDy (mocap),One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,17.604629503059698,0.13299036299986255,nan,nan,nan,7.114664880999953,7.247655243999816,0.33773404987498296,46,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,False,656.5390226705707,0.8652806699511394,0.8416328725893264,52.39048742731508,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Symbolic-Stepwise (mocap),Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,1373.821332007094,0.5010867040000448,nan,nan,nan,1.552446821999638,2.0535335259996828,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,False,10.325301546057993,824.6472253865434,825.0240533951848,2101.9420871238635,nan,nan,nan,nan,nan,nan,u_cmd,mocap
OEM-MocapOutput (mocap),Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,51.583961103765546,41.443051516000196,nan,nan,nan,4.035004851999929,45.478056368000125,nan,16,202,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,False,6.223600474180962,0.8501399585229573,121.39491777914712,5.918681854437653,320.58926127231473,27.71009043230512,122.0750981295563,nan,nan,nan,u_cmd,mocap
GP-CoeffClosure (mocap),Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,7.517497116100527,2.3380641819999255,nan,nan,nan,13.322376625999823,15.660440807999748,0.1469921384517853,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.11, residual gain=0.1.",open_loop,False,14.510128026795007,0.2678208213482038,16.795516526834486,1.2083841302768459,nan,nan,nan,0.031339922738714866,0.13540242810219574,0.023015594070425728,u_cmd,mocap
UDE-Residual (mocap),Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,6.733363916151386,1.0195177590003368,1.0254460360000008,1.0192501220703125,68.81005859375,9.836508693999804,10.85602645300014,0.0957970842719078,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=0.1.,open_loop,False,8.008621332754728,0.27437006888067067,15.167551260226064,0.9952561159969475,nan,nan,nan,nan,nan,nan,u_cmd,mocap
OEM-HiddenController (mocap),Single-shooting OEM with an inferred smooth stall/recovery controller between pilot command and plant input.,implemented,CasADi/IPOPT,0.08640066373320249,244.1066365089996,nan,nan,nan,19.171833923999657,263.27847043299926,42661.780745417775,28,802,"CasADi/IPOPT fitted aerodynamic and controller parameters using u_cmd; controller parameters describe throttle-to-pitch scheduling, elevator-to-pitch mapping, SAFE pitch gain, AS3X q damping, stall/recovery gates, panic pitch target, panic pitch gain, and SAFE/direct blending.",open_loop,False,1.5271737520817124,0.03034809422825313,0.07056704712657265,0.0623493382140675,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-CoeffClosure (mocap),Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,1037.2740955596335,0.9987824679997175,1.002162469,0.9985133666992188,68.42822265625,6.2443375440002455,7.243120011999963,0.05286867916584015,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=0.1.,open_loop,False,1545.9392758213373,180.0252518797353,1895.3079485486408,534.8562833658376,nan,nan,nan,0.04901504896608499,0.39216820307124545,0.0398266138916886,u_cmd,mocap
UDE-HiddenControl (mocap),Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.23805244474467357,1.0039235509998434,1.0082587309999997,1.00359521484375,68.04541015625,19.403343260000383,20.407266811000227,0.45694828033447266,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,False,2.5897955602556335,0.07759647369595686,0.22915398534353604,0.2712352656419003,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-HiddenElevator (mocap),PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.22830606365061767,0.9589069050002763,0.9632888150000003,0.9586417236328125,67.66357421875,11.567557693000253,12.52646459800053,0.007774168625473976,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,False,2.5899356567872815,0.0702176608031053,0.22233169397809613,0.2690757753962252,nan,nan,nan,nan,nan,nan,u_cmd,mocap
NN-CoeffSurrogate (mocap),Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,2.7485914921795978,1.0055310210000243,1.0113559939999996,1.0052628784179687,68.42822265625,9.665795640999931,10.671326661999956,0.002201685681939125,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,False,5.906040135696953,0.15881463488507874,5.930530728833712,0.6090647904688391,nan,nan,nan,0.046302397788610186,0.04195733067542887,0.10660147068717044,u_cmd,mocap
