method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,diverged,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Variational-Mocap,"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,0.3984222674976818,2.149391829000024,nan,nan,nan,1.829622873000062,3.979014702000086,nan,320,52,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,False,6.491757054907398,0.209302395019894,0.8827612061479123,0.8769303154673921,11.811771797665019,10.848136667214332,0.917739049205637,nan,nan,nan,u_cmd,direct
SINDy,One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,87.18974264941993,0.12971024100011164,nan,nan,nan,9.030163582000114,9.159873823000225,0.0020200192787072162,20,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,False,286.8137820318327,47.010207471264884,0.6247733145516339,804.9260330771376,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-SS,Multiple-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.05361920993809052,5.315786945000127,nan,nan,nan,1.7802167960001043,7.0960037410002315,11264.128869452059,56,202,CasADi/IPOPT multiple shooting (6 segments) on 2 trials with stride 10; nonlinear residuals are unmodeled. Solver status: Solve_Succeeded.,open_loop,False,0.8262731191379008,0.022741402158498642,0.10989034400351842,0.19244664653929103,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-MocapOutput,Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,1.4872957146135002,83.69619129600005,nan,nan,nan,1.1248308070000803,84.82102210300013,nan,16,202,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,False,6.187223315423536,1.1369604653296692,5.229319466376579,1.477084464339704,35.27337614904233,5.897319351455539,5.484335222100976,nan,nan,nan,u_cmd,direct
GP-CoeffClosure,Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,0.030159311339009245,2.306823264999821,nan,nan,nan,3.489233083000272,5.796056348000093,0.32503858218651344,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.11, residual gain=1.",open_loop,False,0.49678096982760694,0.011175127704712079,0.06405409081212407,0.11012754439747773,nan,nan,nan,0.0166423125653586,0.012472252041069366,0.0412018147305875,u_cmd,direct
UDE-Residual,Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.01987095049192547,0.9536802229999921,0.9562419889999996,0.9534223022460937,68.81005859375,2.4254575699997076,3.3791377929996997,0.33325615525245667,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=1.,open_loop,False,0.3208086187358778,0.007316190813091121,0.040301108520669815,0.07791850760725041,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-CoeffClosure,Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,0.03323225768216913,0.957596095000099,0.9595780049999996,0.9573375854492188,68.42822265625,2.4763808279999466,3.4339769230000456,0.32628700137138367,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=1.,open_loop,False,0.4996746869947468,0.01678942049664279,0.062441244975981296,0.10897987953778832,nan,nan,nan,0.018368296996974887,0.014618915483382533,0.04738337926349548,u_cmd,direct
UDE-HiddenControl,Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.15695634935300162,0.9443013270001757,0.9468444570000001,0.9440458374023437,68.04541015625,2.826065380000273,3.7703667070004485,0.5016323328018188,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,False,3.2982614755255737,0.056759196285429865,0.31597479309193066,0.43270470946751005,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-HiddenElevator,PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.15896414504479364,0.9149358219997339,0.9171000710000001,0.9146773071289063,67.66357421875,2.9993489349999436,3.9142847569996775,0.004838117398321629,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,False,3.3675093296913947,0.057798973610724724,0.3175535416331939,0.43286109862161587,nan,nan,nan,nan,nan,nan,u_cmd,direct
NN-CoeffSurrogate,Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.01942529646097065,0.9528428419998818,0.9545394950000001,0.9525848999023437,68.42822265625,2.492064517000017,3.444907358999899,0.0017812276491895318,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,False,0.2279332620143573,0.009194743458369797,0.032892458187742245,0.09171709447671307,nan,nan,nan,0.017097849104759512,0.009207980408655546,0.02659330306075334,u_cmd,direct
Nominal (mocap),"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.34208782047090247,0.0,nan,nan,nan,0.9355713840000135,0.9355713840000135,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,False,4.069321507660701,0.30486661648914715,0.4291036479073666,0.6256961881398085,nan,nan,nan,0.08351367508487625,0.03342052577113016,0.12579966244579502,u_cmd,mocap
Linear-SS (mocap),Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.18116528236527132,0.057736411999940174,nan,nan,nan,0.1430001280000397,0.20073653999997987,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,False,3.956277057546592,0.047503602333061494,0.39322686438865256,0.5674930616368755,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Model-Stitching (mocap),Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.21629912853569513,0.10278804599988689,nan,nan,nan,0.7213798460002181,0.824167892000105,0.0008546932836837035,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.917. Validation uses only x0 and the supplied pilot-command history.",open_loop,False,4.781949970277458,0.0543334402563186,0.5106333674143515,0.6119983713715272,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Koopman-EDMD (mocap),Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.22741419946589653,0.0475451659999635,nan,nan,nan,0.6903674689999661,0.7379126349999297,nan,120,64000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,False,5.384504666991913,0.06685716864338076,0.40418658831073334,0.6974998272855141,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Frequency-Welch (mocap),Input-power-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,1307.9822912635022,1.2006446689999848,nan,nan,nan,0.22871798500000295,1.4293626539999877,nan,28,21182,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and input-power-fraction threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,False,15.786964249820358,1139.4677739427889,669.1894413304132,8279.840106471138,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Subspace-Hankel (mocap),Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,1076.298765181049,5.954864675000181,nan,nan,nan,0.3339583629999652,6.288823038000146,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,False,8.049230161947905,628.2239400309562,2619.1406907567557,5909.8157185466325,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EquationError-LS (mocap),"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.17522987192691677,0.009432495000055496,nan,nan,nan,0.9272839579998617,0.9367164529999172,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,False,2.926417415424013,0.07161380742590236,0.4167293942333401,0.49475525362103123,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EKF-ParamID (mocap),Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.2878751353697641,0.1844927209999696,nan,nan,nan,0.9509145909999006,1.1354073119998702,0.011204521075992072,156,800,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,False,4.578376488392427,0.15699837496682723,0.5615732622776635,0.7443945881107064,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Frequency-Stitching (mocap),Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,1259.6438610741836,1.2908684579999772,nan,nan,nan,0.9289802190000955,2.2198486770000727,11.06031131933606,211,21182,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.917. This tests local frequency-domain stitching, not CIFER.",open_loop,False,742.1946052414164,1059.2083601199977,1168.026299410235,7211.6234130059665,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Variational-Mocap (mocap),"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,0.3984222674976818,1.0537358079998285,nan,nan,nan,0.9637276690000363,2.0174634769998647,nan,320,52,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,False,6.491757054907398,0.209302395019894,0.8827612061479123,0.8769303154673921,11.811771797665019,10.848136667214332,0.917739049205637,nan,nan,nan,u_cmd,mocap
Symbolic-Stepwise (mocap),Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,628.3876344588721,0.4329004570001871,nan,nan,nan,1.0901912780000202,1.5230917350002073,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,False,7.202188404333216,717.1702413102897,717.3833054015179,1826.5847013876225,nan,nan,nan,nan,nan,nan,u_cmd,mocap
SINDy (mocap),One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,19.92545500172572,0.14099230700003318,nan,nan,nan,4.0566059950001545,4.197598302000188,0.33773404987498296,46,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,False,829.3742563731264,0.8210068147171359,0.8632147740790849,72.8150033615267,nan,nan,nan,nan,nan,nan,u_cmd,mocap
OEM-SS (mocap),Multiple-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.28115009115300865,3.0193703459999597,nan,nan,nan,1.330422100000078,4.349792446000038,31649.311930015374,56,202,CasADi/IPOPT multiple shooting (6 segments) on 2 trials with stride 10; nonlinear residuals are unmodeled. Solver status: Solve_Succeeded.,open_loop,False,4.453121737488673,0.15403475125053054,0.5463563689694869,0.729237634276654,nan,nan,nan,nan,nan,nan,u_cmd,mocap
OEM-MocapOutput (mocap),Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,1.4872957146135002,84.17638965900005,nan,nan,nan,1.8243558209999264,86.00074547999998,nan,16,202,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,False,6.187223315423536,1.1369604653296692,5.229319466376579,1.477084464339704,35.27337614904233,5.897319351455539,5.484335222100976,nan,nan,nan,u_cmd,mocap
GP-CoeffClosure (mocap),Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,0.3595964425687577,3.279466627999909,nan,nan,nan,3.3021677209999325,6.581634348999842,0.1469921384517853,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.11, residual gain=0.1.",open_loop,False,3.4277943000176156,0.23230759926338804,1.0863707021986018,0.5381569892656027,nan,nan,nan,0.07231661647122457,0.17532320424722986,0.10910578525484717,u_cmd,mocap
UDE-Residual (mocap),Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.23947540508640364,0.9751666150000347,0.9746154019999995,0.9747547607421875,68.81005859375,2.4603345590001027,3.4355011740001373,0.09084222465753555,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=0.1.,open_loop,False,3.1551370407639268,0.18410260175386964,0.35896792687178114,0.5115008032745267,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-CoeffClosure (mocap),Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,0.25007902364279827,0.9541504940000323,0.9551924009999997,0.9538402709960937,68.42822265625,2.5679026880000038,3.522053182000036,0.05678752437233925,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=0.1.,open_loop,False,3.206947234809457,0.19935677864185522,0.36082604359981774,0.519574095329312,nan,nan,nan,0.0749778309010626,0.15833978211743052,0.10652335518924766,u_cmd,mocap
UDE-HiddenControl (mocap),Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.19513009434530337,0.9972663070000181,1.001365024,0.9969598999023438,68.04541015625,2.948824817000059,3.946091124000077,0.4547511339187622,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,False,3.979907895333358,0.08853764775563179,0.3752860719989154,0.44385338865262897,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-HiddenElevator (mocap),PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.19428574550999406,0.9999326789998122,1.0002940769999995,0.9996740112304687,67.66357421875,2.9450694150000345,3.9450020939998467,0.006444763857871294,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,False,3.971192427756391,0.08666208264739327,0.3723823681400643,0.4548629584570308,nan,nan,nan,nan,nan,nan,u_cmd,mocap
NN-CoeffSurrogate (mocap),Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.43004221934347797,1.0816446930000438,1.0774852510000001,1.0813743896484376,68.42822265625,2.3720501509999394,3.4536948439999833,0.002383133862167597,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,False,5.485285772302524,0.21950292752019637,1.2106518125065724,0.9456253794876012,nan,nan,nan,0.1049180656719436,0.10004834589603467,0.3201928263828668,u_cmd,mocap
